date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,2,0,0
2020-03-19,33,0,0,0
2020-03-20,25,0,0,0
2020-03-21,0,0,0,0
2020-03-22,17,1,0,0
2020-03-23,0,0,0,0
2020-03-24,28,0,0,0
2020-03-25,40,9,0,0
2020-03-26,54,4,0,0
2020-03-27,72,6,0,0
2020-03-28,81,6,0,0
2020-03-29,50,1,0,0
2020-03-30,75,6,0,0
2020-03-31,45,0,0,0
2020-04-01,120,1,0,0
2020-04-02,216,3,0,1
2020-04-03,0,0,2,0
2020-04-04,54,0,0,0
2020-04-05,54,0,1,0
2020-04-06,17,0,2,0
2020-04-07,106,0,2,0
2020-04-08,135,0,0,0
2020-04-09,92,0,17,0
2020-04-10,29,1,1,1
2020-04-11,111,0,3,0
2020-04-12,71,3,2,0
2020-04-13,125,2,0,0
2020-04-14,45,0,0,0
2020-04-15,184,3,0,0
2020-04-16,128,0,0,0
2020-04-17,218,4,0,0
2020-04-18,120,5,3,0
2020-04-19,410,4,0,1
2020-04-20,481,4,2,0
2020-04-21,479,5,0,0
2020-04-22,325,4,0,0
2020-04-23,205,2,2,0
2020-04-24,420,8,0,0
2020-04-25,230,0,0,0
2020-04-26,389,4,5,0
2020-04-27,0,0,0,0
2020-04-28,1148,7,0,0
2020-04-29,182,2,12,0
2020-04-30,214,9,1,0
2020-05-01,54,3,19,0
2020-05-02,395,10,1,0
2020-05-03,926,5,3,0
2020-05-04,433,13,0,0
2020-05-05,1459,1,14,0
2020-05-06,468,8,9,1
2020-05-07,849,7,2,0
2020-05-08,683,14,8,0
2020-05-09,496,85,1,3
2020-05-10,250,15,5,0
2020-05-11,286,0,0,0
2020-05-12,368,174,0,0
2020-05-13,432,5,7,0
2020-05-14,1560,208,0,0
2020-05-15,324,0,0,0
2020-05-16,667,25,59,0
2020-05-17,876,74,5,0
2020-05-18,521,8,4,0
2020-05-19,644,11,0,0
2020-05-20,495,60,5,0
2020-05-21,418,34,105,0
2020-05-22,579,54,34,0
2020-05-23,0,0,0,0
2020-05-24,0,0,0,0
2020-05-25,0,0,0,0
2020-05-26,0,0,0,0
2020-05-27,4264,137,443,0
2020-05-28,0,0,0,0
2020-05-29,0,0,0,0
2020-05-30,0,0,0,0
2020-05-31,0,0,0,0
2020-06-01,3961,32,133,0
2020-06-02,0,0,0,0
2020-06-03,0,0,0,0
2020-06-04,0,0,0,0
2020-06-05,0,0,0,0
2020-06-06,6751,0,0,0
2020-06-07,0,0,0,0
2020-06-08,0,111,0,3
